grid_id,collisions,severe_collisions,severe_rate,highway_share,ramp_share,top_route,hotspot_tier
207,9,3,0.3333333333333333,0.4444444444444444,0,7,Watch
358,9,3,0.3333333333333333,0,0,212,Watch
156,11,3,0.2727272727272727,0.9090909090909091,0,103,Elevated
235,15,3,0.2,1,0,101,Watch
121,17,3,0.17647058823529413,0.9411764705882353,0.058823529411764705,103,Watch
208,18,3,0.16666666666666666,0.2777777777777778,0,7,Watch
7,2,2,1,0,0,333,Watch
210,3,2,0.6666666666666666,0,0,7,Watch
212,3,2,0.6666666666666666,0,0,7,Watch
317,3,2,0.6666666666666666,0,0,212,Watch
314,4,2,0.5,0,0,2,Watch
6,5,2,0.4,0,0,333,Watch
169,5,2,0.4,0,0,207,Watch
5,6,2,0.3333333333333333,0,0,333,Watch
49,6,2,0.3333333333333333,0,0,349,Watch
246,7,2,0.2857142857142857,0,0,357,Watch
4,8,2,0.25,0,0,333,Watch
118,10,2,0.2,0,0,333,Watch
359,10,2,0.2,0,0,212,Watch
157,25,2,0.08,0.56,0.28,103,Watch
131,1,1,1,0,0,207,Baseline
200,1,1,1,1,0,107,Baseline
204,1,1,1,0,0,7,Baseline
213,1,1,1,0,0,7,Baseline
253,1,1,1,0,0,7,Baseline
274,1,1,1,0,0,354,Baseline
275,1,1,1,0,0,2,Baseline
283,1,1,1,0,0,357,Baseline
284,1,1,1,0,0,357,Baseline
337,1,1,1,0,0,7,Baseline
360,1,1,1,0,0,357,Baseline
372,1,1,1,0,0,224,Baseline
435,1,1,1,0,0,224,Baseline
438,1,1,1,0,0,224,Baseline
525,1,1,1,0,0,374,Baseline
44,2,1,0.5,0,0,333,Baseline
124,2,1,0.5,0.5,0.5,0,Baseline
248,2,1,0.5,0,0,7,Baseline
256,2,1,0.5,0,0,7,Baseline
295,2,1,0.5,0,0,7,Baseline
321,2,1,0.5,0,0,357,Baseline
380,2,1,0.5,0,0,7,Baseline
398,2,1,0.5,0,0,357,Baseline
312,3,1,0.3333333333333333,0,0,354,Baseline
396,3,1,0.3333333333333333,0,0,224,Baseline
436,3,1,0.3333333333333333,0,0,224,Baseline
480,3,1,0.3333333333333333,0,0,224,Baseline
130,4,1,0.25,0,0,207,Baseline
393,4,1,0.25,0,0,277,Baseline
154,5,1,0.2,1,0,103,Watch
166,6,1,0.16666666666666666,0.5,0.5,0,Watch
197,6,1,0.16666666666666666,1,0,101,Watch
9,7,1,0.14285714285714285,0,0,306,Watch
85,11,1,0.09090909090909091,0,0.18181818181818182,306,Watch
116,12,1,0.08333333333333333,0.5833333333333334,0,103,Watch
272,10,0,0,0.2,0.1,1,Watch
237,6,0,0,1,0,102,Watch
129,5,0,0,0,0,207,Watch
11,4,0,0,0,0,349,Baseline
316,4,0,0,0,0,212,Baseline
10,3,0,0,0,0,306,Baseline
41,3,0,0,0,0,333,Baseline
128,3,0,0,0,0,207,Baseline
318,3,0,0,0,0,212,Baseline
335,3,0,0,0,0,7,Baseline
211,2,0,0,0,0,7,Baseline
336,2,0,0,0,0,7,Baseline
339,2,0,0,0,0,7,Baseline
353,2,0,0,1,0,102,Baseline
354,2,0,0,0,0,214,Baseline
394,2,0,0,0,0,277,Baseline
3,1,0,0,0,0,333,Baseline
252,1,0,0,0,0,7,Baseline
338,1,0,0,0,0,7,Baseline
379,1,0,0,0,0,7,Baseline
399,1,0,0,0,0,357,Baseline
407,1,0,0,0,0,224,Baseline
408,1,0,0,0,0,224,Baseline
443,1,0,0,0,0,224,Baseline
476,1,0,0,0,0,224,Baseline
478,1,0,0,0,0,224,Baseline
517,1,0,0,0,0,336,Baseline
1,0,0,0,0,0,Unknown,No Data
2,0,0,0,0,0,Unknown,No Data
8,0,0,0,0,0,Unknown,No Data
12,0,0,0,0,0,Unknown,No Data
13,0,0,0,0,0,Unknown,No Data
14,0,0,0,0,0,Unknown,No Data
15,0,0,0,0,0,Unknown,No Data
16,0,0,0,0,0,Unknown,No Data
17,0,0,0,0,0,Unknown,No Data
18,0,0,0,0,0,Unknown,No Data
19,0,0,0,0,0,Unknown,No Data
20,0,0,0,0,0,Unknown,No Data
21,0,0,0,0,0,Unknown,No Data
22,0,0,0,0,0,Unknown,No Data
23,0,0,0,0,0,Unknown,No Data
24,0,0,0,0,0,Unknown,No Data
25,0,0,0,0,0,Unknown,No Data
26,0,0,0,0,0,Unknown,No Data
27,0,0,0,0,0,Unknown,No Data
28,0,0,0,0,0,Unknown,No Data
29,0,0,0,0,0,Unknown,No Data
30,0,0,0,0,0,Unknown,No Data
31,0,0,0,0,0,Unknown,No Data
32,0,0,0,0,0,Unknown,No Data
33,0,0,0,0,0,Unknown,No Data
34,0,0,0,0,0,Unknown,No Data
35,0,0,0,0,0,Unknown,No Data
36,0,0,0,0,0,Unknown,No Data
37,0,0,0,0,0,Unknown,No Data
38,0,0,0,0,0,Unknown,No Data
39,0,0,0,0,0,Unknown,No Data
40,0,0,0,0,0,Unknown,No Data
42,0,0,0,0,0,Unknown,No Data
43,0,0,0,0,0,Unknown,No Data
48,0,0,0,0,0,Unknown,No Data
50,0,0,0,0,0,Unknown,No Data
51,0,0,0,0,0,Unknown,No Data
52,0,0,0,0,0,Unknown,No Data
53,0,0,0,0,0,Unknown,No Data
54,0,0,0,0,0,Unknown,No Data
55,0,0,0,0,0,Unknown,No Data
56,0,0,0,0,0,Unknown,No Data
57,0,0,0,0,0,Unknown,No Data
58,0,0,0,0,0,Unknown,No Data
59,0,0,0,0,0,Unknown,No Data
60,0,0,0,0,0,Unknown,No Data
61,0,0,0,0,0,Unknown,No Data
62,0,0,0,0,0,Unknown,No Data
63,0,0,0,0,0,Unknown,No Data
64,0,0,0,0,0,Unknown,No Data
65,0,0,0,0,0,Unknown,No Data
66,0,0,0,0,0,Unknown,No Data
67,0,0,0,0,0,Unknown,No Data
68,0,0,0,0,0,Unknown,No Data
69,0,0,0,0,0,Unknown,No Data
70,0,0,0,0,0,Unknown,No Data
71,0,0,0,0,0,Unknown,No Data
72,0,0,0,0,0,Unknown,No Data
73,0,0,0,0,0,Unknown,No Data
74,0,0,0,0,0,Unknown,No Data
75,0,0,0,0,0,Unknown,No Data
76,0,0,0,0,0,Unknown,No Data
77,0,0,0,0,0,Unknown,No Data
78,0,0,0,0,0,Unknown,No Data
80,0,0,0,0,0,Unknown,No Data
81,0,0,0,0,0,Unknown,No Data
82,0,0,0,0,0,Unknown,No Data
83,0,0,0,0,0,Unknown,No Data
86,0,0,0,0,0,Unknown,No Data
87,0,0,0,0,0,Unknown,No Data
88,0,0,0,0,0,Unknown,No Data
89,0,0,0,0,0,Unknown,No Data
90,0,0,0,0,0,Unknown,No Data
91,0,0,0,0,0,Unknown,No Data
92,0,0,0,0,0,Unknown,No Data
93,0,0,0,0,0,Unknown,No Data
94,0,0,0,0,0,Unknown,No Data
95,0,0,0,0,0,Unknown,No Data
96,0,0,0,0,0,Unknown,No Data
97,0,0,0,0,0,Unknown,No Data
98,0,0,0,0,0,Unknown,No Data
99,0,0,0,0,0,Unknown,No Data
100,0,0,0,0,0,Unknown,No Data
101,0,0,0,0,0,Unknown,No Data
102,0,0,0,0,0,Unknown,No Data
103,0,0,0,0,0,Unknown,No Data
104,0,0,0,0,0,Unknown,No Data
105,0,0,0,0,0,Unknown,No Data
106,0,0,0,0,0,Unknown,No Data
107,0,0,0,0,0,Unknown,No Data
108,0,0,0,0,0,Unknown,No Data
109,0,0,0,0,0,Unknown,No Data
110,0,0,0,0,0,Unknown,No Data
111,0,0,0,0,0,Unknown,No Data
112,0,0,0,0,0,Unknown,No Data
113,0,0,0,0,0,Unknown,No Data
114,0,0,0,0,0,Unknown,No Data
117,0,0,0,0,0,Unknown,No Data
119,0,0,0,0,0,Unknown,No Data
126,0,0,0,0,0,Unknown,No Data
127,0,0,0,0,0,Unknown,No Data
132,0,0,0,0,0,Unknown,No Data
133,0,0,0,0,0,Unknown,No Data
134,0,0,0,0,0,Unknown,No Data
135,0,0,0,0,0,Unknown,No Data
136,0,0,0,0,0,Unknown,No Data
137,0,0,0,0,0,Unknown,No Data
138,0,0,0,0,0,Unknown,No Data
139,0,0,0,0,0,Unknown,No Data
140,0,0,0,0,0,Unknown,No Data
141,0,0,0,0,0,Unknown,No Data
142,0,0,0,0,0,Unknown,No Data
143,0,0,0,0,0,Unknown,No Data
144,0,0,0,0,0,Unknown,No Data
145,0,0,0,0,0,Unknown,No Data
146,0,0,0,0,0,Unknown,No Data
147,0,0,0,0,0,Unknown,No Data
148,0,0,0,0,0,Unknown,No Data
149,0,0,0,0,0,Unknown,No Data
150,0,0,0,0,0,Unknown,No Data
151,0,0,0,0,0,Unknown,No Data
152,0,0,0,0,0,Unknown,No Data
153,0,0,0,0,0,Unknown,No Data
158,0,0,0,0,0,Unknown,No Data
159,0,0,0,0,0,Unknown,No Data
170,0,0,0,0,0,Unknown,No Data
171,0,0,0,0,0,Unknown,No Data
172,0,0,0,0,0,Unknown,No Data
173,0,0,0,0,0,Unknown,No Data
174,0,0,0,0,0,Unknown,No Data
175,0,0,0,0,0,Unknown,No Data
176,0,0,0,0,0,Unknown,No Data
177,0,0,0,0,0,Unknown,No Data
178,0,0,0,0,0,Unknown,No Data
179,0,0,0,0,0,Unknown,No Data
180,0,0,0,0,0,Unknown,No Data
181,0,0,0,0,0,Unknown,No Data
182,0,0,0,0,0,Unknown,No Data
183,0,0,0,0,0,Unknown,No Data
184,0,0,0,0,0,Unknown,No Data
185,0,0,0,0,0,Unknown,No Data
186,0,0,0,0,0,Unknown,No Data
187,0,0,0,0,0,Unknown,No Data
188,0,0,0,0,0,Unknown,No Data
189,0,0,0,0,0,Unknown,No Data
190,0,0,0,0,0,Unknown,No Data
191,0,0,0,0,0,Unknown,No Data
192,0,0,0,0,0,Unknown,No Data
193,0,0,0,0,0,Unknown,No Data
194,0,0,0,0,0,Unknown,No Data
195,0,0,0,0,0,Unknown,No Data
196,0,0,0,0,0,Unknown,No Data
202,0,0,0,0,0,Unknown,No Data
203,0,0,0,0,0,Unknown,No Data
209,0,0,0,0,0,Unknown,No Data
214,0,0,0,0,0,Unknown,No Data
215,0,0,0,0,0,Unknown,No Data
216,0,0,0,0,0,Unknown,No Data
217,0,0,0,0,0,Unknown,No Data
218,0,0,0,0,0,Unknown,No Data
219,0,0,0,0,0,Unknown,No Data
220,0,0,0,0,0,Unknown,No Data
221,0,0,0,0,0,Unknown,No Data
222,0,0,0,0,0,Unknown,No Data
223,0,0,0,0,0,Unknown,No Data
224,0,0,0,0,0,Unknown,No Data
225,0,0,0,0,0,Unknown,No Data
226,0,0,0,0,0,Unknown,No Data
227,0,0,0,0,0,Unknown,No Data
228,0,0,0,0,0,Unknown,No Data
229,0,0,0,0,0,Unknown,No Data
230,0,0,0,0,0,Unknown,No Data
231,0,0,0,0,0,Unknown,No Data
232,0,0,0,0,0,Unknown,No Data
233,0,0,0,0,0,Unknown,No Data
236,0,0,0,0,0,Unknown,No Data
239,0,0,0,0,0,Unknown,No Data
240,0,0,0,0,0,Unknown,No Data
241,0,0,0,0,0,Unknown,No Data
242,0,0,0,0,0,Unknown,No Data
243,0,0,0,0,0,Unknown,No Data
244,0,0,0,0,0,Unknown,No Data
245,0,0,0,0,0,Unknown,No Data
249,0,0,0,0,0,Unknown,No Data
250,0,0,0,0,0,Unknown,No Data
251,0,0,0,0,0,Unknown,No Data
254,0,0,0,0,0,Unknown,No Data
255,0,0,0,0,0,Unknown,No Data
257,0,0,0,0,0,Unknown,No Data
258,0,0,0,0,0,Unknown,No Data
259,0,0,0,0,0,Unknown,No Data
260,0,0,0,0,0,Unknown,No Data
261,0,0,0,0,0,Unknown,No Data
262,0,0,0,0,0,Unknown,No Data
263,0,0,0,0,0,Unknown,No Data
264,0,0,0,0,0,Unknown,No Data
265,0,0,0,0,0,Unknown,No Data
266,0,0,0,0,0,Unknown,No Data
267,0,0,0,0,0,Unknown,No Data
268,0,0,0,0,0,Unknown,No Data
269,0,0,0,0,0,Unknown,No Data
270,0,0,0,0,0,Unknown,No Data
271,0,0,0,0,0,Unknown,No Data
273,0,0,0,0,0,Unknown,No Data
278,0,0,0,0,0,Unknown,No Data
279,0,0,0,0,0,Unknown,No Data
280,0,0,0,0,0,Unknown,No Data
281,0,0,0,0,0,Unknown,No Data
282,0,0,0,0,0,Unknown,No Data
285,0,0,0,0,0,Unknown,No Data
286,0,0,0,0,0,Unknown,No Data
287,0,0,0,0,0,Unknown,No Data
288,0,0,0,0,0,Unknown,No Data
289,0,0,0,0,0,Unknown,No Data
290,0,0,0,0,0,Unknown,No Data
291,0,0,0,0,0,Unknown,No Data
292,0,0,0,0,0,Unknown,No Data
293,0,0,0,0,0,Unknown,No Data
294,0,0,0,0,0,Unknown,No Data
297,0,0,0,0,0,Unknown,No Data
298,0,0,0,0,0,Unknown,No Data
299,0,0,0,0,0,Unknown,No Data
300,0,0,0,0,0,Unknown,No Data
301,0,0,0,0,0,Unknown,No Data
302,0,0,0,0,0,Unknown,No Data
303,0,0,0,0,0,Unknown,No Data
304,0,0,0,0,0,Unknown,No Data
305,0,0,0,0,0,Unknown,No Data
306,0,0,0,0,0,Unknown,No Data
307,0,0,0,0,0,Unknown,No Data
308,0,0,0,0,0,Unknown,No Data
309,0,0,0,0,0,Unknown,No Data
310,0,0,0,0,0,Unknown,No Data
311,0,0,0,0,0,Unknown,No Data
313,0,0,0,0,0,Unknown,No Data
319,0,0,0,0,0,Unknown,No Data
320,0,0,0,0,0,Unknown,No Data
322,0,0,0,0,0,Unknown,No Data
323,0,0,0,0,0,Unknown,No Data
324,0,0,0,0,0,Unknown,No Data
325,0,0,0,0,0,Unknown,No Data
326,0,0,0,0,0,Unknown,No Data
327,0,0,0,0,0,Unknown,No Data
328,0,0,0,0,0,Unknown,No Data
329,0,0,0,0,0,Unknown,No Data
330,0,0,0,0,0,Unknown,No Data
331,0,0,0,0,0,Unknown,No Data
332,0,0,0,0,0,Unknown,No Data
333,0,0,0,0,0,Unknown,No Data
334,0,0,0,0,0,Unknown,No Data
340,0,0,0,0,0,Unknown,No Data
341,0,0,0,0,0,Unknown,No Data
342,0,0,0,0,0,Unknown,No Data
343,0,0,0,0,0,Unknown,No Data
344,0,0,0,0,0,Unknown,No Data
345,0,0,0,0,0,Unknown,No Data
346,0,0,0,0,0,Unknown,No Data
347,0,0,0,0,0,Unknown,No Data
348,0,0,0,0,0,Unknown,No Data
349,0,0,0,0,0,Unknown,No Data
350,0,0,0,0,0,Unknown,No Data
351,0,0,0,0,0,Unknown,No Data
352,0,0,0,0,0,Unknown,No Data
355,0,0,0,0,0,Unknown,No Data
356,0,0,0,0,0,Unknown,No Data
357,0,0,0,0,0,Unknown,No Data
361,0,0,0,0,0,Unknown,No Data
362,0,0,0,0,0,Unknown,No Data
363,0,0,0,0,0,Unknown,No Data
364,0,0,0,0,0,Unknown,No Data
365,0,0,0,0,0,Unknown,No Data
366,0,0,0,0,0,Unknown,No Data
367,0,0,0,0,0,Unknown,No Data
368,0,0,0,0,0,Unknown,No Data
369,0,0,0,0,0,Unknown,No Data
370,0,0,0,0,0,Unknown,No Data
371,0,0,0,0,0,Unknown,No Data
373,0,0,0,0,0,Unknown,No Data
374,0,0,0,0,0,Unknown,No Data
375,0,0,0,0,0,Unknown,No Data
376,0,0,0,0,0,Unknown,No Data
377,0,0,0,0,0,Unknown,No Data
378,0,0,0,0,0,Unknown,No Data
381,0,0,0,0,0,Unknown,No Data
382,0,0,0,0,0,Unknown,No Data
383,0,0,0,0,0,Unknown,No Data
384,0,0,0,0,0,Unknown,No Data
385,0,0,0,0,0,Unknown,No Data
386,0,0,0,0,0,Unknown,No Data
387,0,0,0,0,0,Unknown,No Data
388,0,0,0,0,0,Unknown,No Data
389,0,0,0,0,0,Unknown,No Data
390,0,0,0,0,0,Unknown,No Data
391,0,0,0,0,0,Unknown,No Data
392,0,0,0,0,0,Unknown,No Data
395,0,0,0,0,0,Unknown,No Data
397,0,0,0,0,0,Unknown,No Data
400,0,0,0,0,0,Unknown,No Data
401,0,0,0,0,0,Unknown,No Data
402,0,0,0,0,0,Unknown,No Data
403,0,0,0,0,0,Unknown,No Data
404,0,0,0,0,0,Unknown,No Data
405,0,0,0,0,0,Unknown,No Data
406,0,0,0,0,0,Unknown,No Data
409,0,0,0,0,0,Unknown,No Data
410,0,0,0,0,0,Unknown,No Data
411,0,0,0,0,0,Unknown,No Data
412,0,0,0,0,0,Unknown,No Data
413,0,0,0,0,0,Unknown,No Data
414,0,0,0,0,0,Unknown,No Data
415,0,0,0,0,0,Unknown,No Data
416,0,0,0,0,0,Unknown,No Data
417,0,0,0,0,0,Unknown,No Data
418,0,0,0,0,0,Unknown,No Data
419,0,0,0,0,0,Unknown,No Data
420,0,0,0,0,0,Unknown,No Data
421,0,0,0,0,0,Unknown,No Data
422,0,0,0,0,0,Unknown,No Data
423,0,0,0,0,0,Unknown,No Data
424,0,0,0,0,0,Unknown,No Data
425,0,0,0,0,0,Unknown,No Data
426,0,0,0,0,0,Unknown,No Data
427,0,0,0,0,0,Unknown,No Data
428,0,0,0,0,0,Unknown,No Data
429,0,0,0,0,0,Unknown,No Data
430,0,0,0,0,0,Unknown,No Data
431,0,0,0,0,0,Unknown,No Data
432,0,0,0,0,0,Unknown,No Data
433,0,0,0,0,0,Unknown,No Data
434,0,0,0,0,0,Unknown,No Data
439,0,0,0,0,0,Unknown,No Data
440,0,0,0,0,0,Unknown,No Data
441,0,0,0,0,0,Unknown,No Data
442,0,0,0,0,0,Unknown,No Data
444,0,0,0,0,0,Unknown,No Data
445,0,0,0,0,0,Unknown,No Data
446,0,0,0,0,0,Unknown,No Data
447,0,0,0,0,0,Unknown,No Data
448,0,0,0,0,0,Unknown,No Data
449,0,0,0,0,0,Unknown,No Data
450,0,0,0,0,0,Unknown,No Data
451,0,0,0,0,0,Unknown,No Data
452,0,0,0,0,0,Unknown,No Data
453,0,0,0,0,0,Unknown,No Data
454,0,0,0,0,0,Unknown,No Data
455,0,0,0,0,0,Unknown,No Data
456,0,0,0,0,0,Unknown,No Data
457,0,0,0,0,0,Unknown,No Data
458,0,0,0,0,0,Unknown,No Data
459,0,0,0,0,0,Unknown,No Data
460,0,0,0,0,0,Unknown,No Data
461,0,0,0,0,0,Unknown,No Data
462,0,0,0,0,0,Unknown,No Data
463,0,0,0,0,0,Unknown,No Data
464,0,0,0,0,0,Unknown,No Data
465,0,0,0,0,0,Unknown,No Data
466,0,0,0,0,0,Unknown,No Data
467,0,0,0,0,0,Unknown,No Data
468,0,0,0,0,0,Unknown,No Data
469,0,0,0,0,0,Unknown,No Data
470,0,0,0,0,0,Unknown,No Data
471,0,0,0,0,0,Unknown,No Data
472,0,0,0,0,0,Unknown,No Data
473,0,0,0,0,0,Unknown,No Data
474,0,0,0,0,0,Unknown,No Data
475,0,0,0,0,0,Unknown,No Data
477,0,0,0,0,0,Unknown,No Data
479,0,0,0,0,0,Unknown,No Data
481,0,0,0,0,0,Unknown,No Data
482,0,0,0,0,0,Unknown,No Data
483,0,0,0,0,0,Unknown,No Data
484,0,0,0,0,0,Unknown,No Data
485,0,0,0,0,0,Unknown,No Data
486,0,0,0,0,0,Unknown,No Data
487,0,0,0,0,0,Unknown,No Data
488,0,0,0,0,0,Unknown,No Data
489,0,0,0,0,0,Unknown,No Data
490,0,0,0,0,0,Unknown,No Data
491,0,0,0,0,0,Unknown,No Data
492,0,0,0,0,0,Unknown,No Data
493,0,0,0,0,0,Unknown,No Data
494,0,0,0,0,0,Unknown,No Data
495,0,0,0,0,0,Unknown,No Data
496,0,0,0,0,0,Unknown,No Data
497,0,0,0,0,0,Unknown,No Data
498,0,0,0,0,0,Unknown,No Data
499,0,0,0,0,0,Unknown,No Data
500,0,0,0,0,0,Unknown,No Data
501,0,0,0,0,0,Unknown,No Data
502,0,0,0,0,0,Unknown,No Data
503,0,0,0,0,0,Unknown,No Data
504,0,0,0,0,0,Unknown,No Data
505,0,0,0,0,0,Unknown,No Data
506,0,0,0,0,0,Unknown,No Data
507,0,0,0,0,0,Unknown,No Data
508,0,0,0,0,0,Unknown,No Data
509,0,0,0,0,0,Unknown,No Data
510,0,0,0,0,0,Unknown,No Data
511,0,0,0,0,0,Unknown,No Data
512,0,0,0,0,0,Unknown,No Data
513,0,0,0,0,0,Unknown,No Data
514,0,0,0,0,0,Unknown,No Data
515,0,0,0,0,0,Unknown,No Data
516,0,0,0,0,0,Unknown,No Data
518,0,0,0,0,0,Unknown,No Data
519,0,0,0,0,0,Unknown,No Data
520,0,0,0,0,0,Unknown,No Data
521,0,0,0,0,0,Unknown,No Data
522,0,0,0,0,0,Unknown,No Data
523,0,0,0,0,0,Unknown,No Data
524,0,0,0,0,0,Unknown,No Data
526,0,0,0,0,0,Unknown,No Data
527,0,0,0,0,0,Unknown,No Data
528,0,0,0,0,0,Unknown,No Data
529,0,0,0,0,0,Unknown,No Data
530,0,0,0,0,0,Unknown,No Data
531,0,0,0,0,0,Unknown,No Data
532,0,0,0,0,0,Unknown,No Data
